State, Name, RUSNo, Locations, Annual, 10 Year
MS,Natchez_Trace_Electric_Power_Association,3497,1693299,16932990,MS050
MS,Northcentral_Electric_Power_Association,1617,196525,1965250,MS048
MS,Northeast_Mississippi_Electric_Power_Association,5169,1992631,19926310,MS024
MS,Pearl_River_Valley_Electric_Power_Association,17064,5014705,50147050,MS036
MS,Prentiss_County_Electric_Power_Association,4239,1400750,14007500,MS046
MS,Southern_Pine_Electric,23351,8062155,80621550,MS040
MS,Tallahatchie_Valley_Electric_Power_Association,8227,3943382,39433820,MS026
MS,Tippah_Electric_Power_Association,1124,572650,5726500,MS047
MS,Tishomingo_County_Electric_Power_Association,4913,1842327,18423270,MS043
MS,Tombigbee_Electric_Power_Association,5545,1263359,12633590,MS049
MS,Yazoo_Valley_Electric_Power_Association,4952,3317270,33172700,MS020
NY,Otsego_Electric_Cooperative,2278,1244588,12445880,NY019
OH,Consolidated_Cooperative_Ohio,4028,1095909,10959090,OH059
OK,Canadian_Valley_Electric_Cooperative,8091,5245819,52458190,OK029
OK,Central_Electric_Cooperative_Oklahoma,6165,1682583,16825830,OK024
OK,Choctaw_Electric_Cooperative,2382,1762132,17621320,OK030
OK,Cookson_Hills_Electric_Cooperative,4894,1452322,14523220,OK035
OK,Cotton_Electric_Cooperative,6753,4497969,44979690,OK022
OK,East_Central_Oklahoma_Electric_Cooperative,8644,3171419,31714190,OK023
OK,Indian_Electric_Cooperative,3172,1380739,13807390,OK028
OK,Kiamichi_Electric_Cooperative,6184,4365854,43658540,OK033
OK,Oklahoma_Electric_Cooperative,12230,2662976,26629760,OK010
OK,Verdigris_Valley_Electric_Cooperative,11927,3673486,36734860,OK025
OR,Columbian_Basin_Electric_Cooperative,1475,1681773,16817730,OR029
OR,Coos_Curry_Electric_Cooperative,3058,2694685,26946850,OR021
SC,Berkeley,597,205367,2053670,SC025
SC,Blue_Ridge_Electric_Cooperative,9299,2221510,22215100,SC038
SC,Broad_River_Electric_Cooperative,5573,1250820,12508200,SC033
SC,Edisto_Electric_Cooperative,13582,6007067,60070670,SC023
SC,Palmetto_Electric,4506,1763017,17630170,SC040
SC,Santee_Electric_Cooperative,5854,1900772,19007720,SC028
SC,Tri_County_Electric_Cooperative_SC,4363,1159214,11592140,SC032
SC,York_Electric_Cooperative,2083,553146,5531460,SC041
TN,Cumberland_Electric,8728,2880495,28804950,TN024
TN,Forked_Deer_Electric,2138,899191,8991910,TN048
TN,Tennessee_Valley_Electric_Cooperative,2789,1361370,13613700,TN034
TX,Midsouth_Synergy,7511,3706709,37067090,TX115
VA,Central_Virginia_Electric_Cooperative,6370,1501148,15011480,VA029
VA,Mecklenburg_Electric_Cooperative,12346,4132484,41324840,VA031
VA,Prince_George_Electric_Cooperative,1438,244601,2446010,rus
VA,Rappahannock_Electric_Cooperative,40380,12531340,125313400,VA054
WI,Pierce_Pepin_Cooperative_Services,3508,1859466,18594660,WI058

